brand,product,color,rgb,rgb0,hex
FENTY BEAUTY BY RIHANNA, Gloss Bomb Doubletake Duo Gloss Set,Cupcakin' & Bubble Binge (2 x 9 ml),"(255, 61, 147)","(255, 0, 113)",#ff3d93
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,92 Flaming Flamingo,"(255, 105, 156)","(255, 0, 87)",#ff699c
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,94 Cherry Moon,"(166, 33, 64)","(255, 0, 59)",#a62140
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,96 Red Velvet,"(149, 62, 68)","(255, 0, 18)",#953e44
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,97 Red Desert,"(124, 48, 52)","(255, 0, 13)",#7c3034
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,99 Purple Red,"(95, 52, 59)","(255, 0, 42)",#5f343b
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,101 Plum Aurora,"(119, 42, 96)","(255, 0, 179)",#772a60
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,02 Crushed Velour,"(176, 60, 69)","(255, 0, 20)",#b03c45
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,"03 Velvet Sunset (3,60 ml)","(254, 37, 22)","(255, 16, 0)",#fe2516
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,04 Kiss Me Softly,"(218, 35, 55)","(255, 0, 28)",#da2337
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,05 Smooth Operator,"(192, 47, 102)","(255, 0, 97)",#c02f66
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,06 Cotton Candy,"(210, 56, 106)","(255, 0, 83)",#d2386a
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,"07 Blown Kiss (3,60 ml)","(208, 92, 105)","(255, 0, 29)",#d05c69
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,09 Desert Cloud,"(185, 71, 70)","(255, 2, 0)",#b94746
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,"11 Cuddle Time (3,60 ml)","(164, 83, 98)","(255, 0, 47)",#a45362
SEPHORA COLLECTION,Lip Blush Soft Matte Lip Color,12 Pillow Fight,"(214, 93, 100)","(255, 0, 15)",#d65d64
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lolita - Rose brun,"(197, 140, 146)","(255, 0, 27)",#c58c92
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,BUTTERCUP (3 gr),"(251, 155, 131)","(255, 51, 0)",#fb9b83
SEPHORA COLLECTION,Rouge Matte Lipstick,01 IN THE LIME,"(164, 72, 83)","(255, 0, 30)",#a44853
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Bow N Arrow - Nude fauve,"(203, 158, 153)","(255, 26, 0)",#cb9e99
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lovesick - Nude mauve,"(186, 126, 138)","(255, 0, 51)",#ba7e8a
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lolita II - Nude terracotta,"(216, 146, 144)","(255, 7, 0)",#d89290
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Mother - Rose mauve poudré,"(220, 140, 165)","(255, 0, 80)",#dc8ca5
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Berlin - Rose chaud,"(238, 112, 150)","(255, 0, 77)",#ee7096
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Double Dare - Rose cacao,"(233, 146, 152)","(255, 0, 18)",#e99298
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Outlaw - Rouge brique,"(208, 8, 37)","(255, 0, 37)",#d00825
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Nahz Fur Atoo - Pourpre,"(174, 73, 81)","(255, 0, 20)",#ae4951
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,"Vampira (6,6 ml)","(144, 77, 95)","(255, 0, 69)",#904d5f
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Exorcism - Mûre,"(150, 90, 116)","(255, 0, 110)",#965a74
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Ludwig - nude fawn,"(201, 156, 150)","(255, 30, 0)",#c99c96
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Roxy,"(109, 55, 139)","(164, 0, 255)",#6d378b
KVD VEGAN BEAUTY,Everlasting Liquid Lipstick,Lovecraft,"(196, 111, 114)","(255, 0, 9)",#c46f72
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,ANGEL (3 gr),"(243, 154, 146)","(255, 21, 0)",#f39a92
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,HONEY BUN (3 gr),"(247, 148, 125)","(255, 48, 0)",#f7947d
HUDA BEAUTY, Power Bullet Cream Glow Lipstick,SWEET CHEEKS,"(214, 133, 116)","(255, 44, 0)",#d68574
